id,Order,(internal)family,baseGenus,cpGI,mtGI,SRA,spots
0,Asparagales,Orchidaceae,Aa,,,SRR11477338,493208093
2,Polypodiales,Thelypteridaceae,Abacopteris,,,SRR7121770,359898288
7,Brassicales,Caprifoliaceae,Abelia,1644670460,,ERR4180165,474884
8,Lamiales,Oleaceae,Abeliophyllum,1079489517,,SRR13340840,6606411
9,Malvales,Malvaceae,Abelmoschus,1215836296,,SRR5812498,9028889
11,Pinales,Pinaceae,Abies,1678641712,,ERR3686460,13255310
24,Malvales,Malvaceae,Abutilon,,,SRR12649607,13177503
25,Fabales,Leguminosae,Acacia,1206250777,1552055398,SRR7121534,299373131
31,Myrtales,Melastomataceae,Acanthella,,,ERR5034061,372023
37,Pandanales,Velloziaceae,Acanthochlamys,,,SRR11342831,3821902
69,Myrtales,Myrtaceae,Acca,1112920523,,ERR5033686,3006112
70,Myrtales,Myrtaceae,Accara,,,ERR5034147,681923
72,Sapindales,Sapindaceae,Acer,1861678819,1728347898,SRR10097487,393112321
73,Asparagales,Orchidaceae,Aceras,,,SRR12432579,21126574
74,Oxalidales,Elaeocarpaceae,Aceratium,,,ERR5033779,296266
76,Caryophyllales,Achatocarpaceae,Achatocarpus,1583104958,,ERR3672056,290482
78,Asterales,Compositae,Achillea,,,SRR7122025,352612371
83,Poales,Poaceae,Achnatherum,,,SRR8208359,128723425
90,Caryophyllales,Amaranthaceae,Achyranthes,1883998305,,SRR13611624,2573696
104,Asterales,Calyceraceae,Acicarpha,,,ERR4180184,452314
106,Malpighiales,Euphorbiaceae,Acidocroton,,,ERR5034432,4804618
116,Myrtales,Melastomataceae,Aciotis,,,ERR5033926,1506856
117,Apiales,Apiaceae,Aciphylla,,,ERR5034281,1195990
119,Myrtales,Melastomataceae,Acisanthera,,,ERR5034394,1924256
123,Asterales,Compositae,Acmella,,,SRR7121831,331790998
125,Pinales,Podocarpaceae,Acmopyle,,,SRR14374001,36110553
133,Ranunculales,Ranunculaceae,Aconitum,1284805385,,SRR14099180,6134612
134,Caryophyllales,Polygonaceae,Aconogonum,,,SRR8208362,122841734
166,Polypodiales,Dryopteridaceae,Acrophorus,,,SRR11229720,81481457
167,Oxalidales,Cunoniaceae,Acrophyllum,,,ERR5033786,2754636
172,Polypodiales,Dryopteridaceae,Acrorumohra,1395161497,,SRR11229720,81481457
180,Dilleniales,Dilleniaceae,Acrotrema,,,ERR4180187,124036
188,Ericales,Actinidiaceae,Actinidia,1707511313,1622212457,DRR180225,316045968
195,Laurales,Lauraceae,Actinodaphne,1783488338,,SRR10121860,177256098
196,Myrtales,Myrtaceae,Actinodium,,,ERR5034119,455572
199,Apiales,Apiaceae,Actinolema,,,ERR5034334,960751
201,Poales,Cyperaceae,Actinoschoenus,,,ERR4374841,230960
202,Poales,Cyperaceae,Actinoscirpus,,,ERR4969776,885240
205,Schizaeales,Schizaeaceae,Actinostachys,1078191322,,SRR5571979,207782
207,Malpighiales,Euphorbiaceae,Actinostemon,,,ERR5034673,520986
